,AcresBurned,ArchiveYear,CalFireIncident,Counties,Extinguished,Location,MajorIncident,Started
489,300.0,2016,True,Sutter,2016-09-20T18:00:00Z,off Pass Road and Kellogg Road (Near Sutter Buttes West of Yuba City,False,2016-09-20T09:30:00Z
490,278.0,2016,True,Fresno,2016-05-25T08:00:00Z,"DeWolf Ave & Behymer Ave, 2 miles north of Clovis",False,2016-05-25T01:03:00Z
491,277.0,2016,True,Yolo,2016-06-27T06:15:00Z,"off Hwy 16, 4 miles south of Brooks, near the Cache Creek Casino",False,2016-06-26T15:45:00Z
492,248.0,2016,False,Plumas,2016-10-06T17:15:00Z,north of Hwy 70 and west of Jackass Creek Road ,False,2016-09-26T13:23:00Z
493,237.0,2016,True,San Benito,2016-06-20T06:00:00Z,"north of Hwy 198, east of Hwy 25",True,2016-06-17T14:30:00Z
494,221.0,2016,True,Kern,2016-07-14T12:00:00Z,"off Coyote Trail & Rocky Hill, East of Onyx",False,2016-07-13T17:08:00Z
495,215.0,2016,False,Santa Barbara,2016-09-27T14:00:00Z,"off Washington Ave. and Airfield Rd, north of California Blvd ",False,2016-09-22T14:20:00Z
496,215.0,2016,True,Lake,2016-06-28T20:00:00Z,"Near Indian Valley Reservoir, 7 miles Southwest of Leesville",True,2016-06-26T16:00:00Z
497,211.0,2016,True,Alameda,2016-06-26T07:00:00Z,"In the Altamont Pass, 10 miles east of Livermore",False,2016-06-25T16:11:00Z
498,210.0,2016,True,Amador,2016-06-21T18:30:00Z,"off Camanche Parkway North & Coal Mine Road, south of Ione",True,2016-06-17T14:54:00Z
499,188.0,2016,True,Fresno,2016-07-13T17:30:00Z,"off Watts Valley Rd. & Big Springs Ln, east of Clovis",False,2016-07-11T14:30:00Z
500,176.0,2016,True,El Dorado,2016-10-17T11:45:00Z,"off Highway 89, near Cascade Lake and Emerald Bay.",True,2016-10-14T01:28:00Z
501,173.0,2016,True,Riverside,2016-07-15T08:00:00Z,off Briggs Rd & Louis Rd in Romoland,False,2016-07-12T15:20:00Z
502,169.0,2016,True,Placer,2016-05-19T18:00:00Z,"Off Athens Ave & Industrial Blvd, south of Lincoln",False,2016-05-17T15:06:00Z
503,158.0,2016,True,Fresno,2016-09-06T18:15:00Z,off Sunnyslope Rd & Lakeside Ln near the Pine Flat Lake Reservoir,True,2016-09-03T14:44:00Z
504,156.0,2016,False,Los Angeles,2016-05-25T18:45:00Z,"Hwy 210 and Wheatland Ave, southeast of Lake View Terrace",False,2016-05-23T14:15:00Z
505,151.0,2016,True,Fresno,2016-04-29T17:15:00Z,four miles Northwest of Panoche and Interstate 5 ,False,2016-04-28T17:45:00Z
506,150.0,2016,False,Del Norte,2016-09-17T18:00:00Z,"off Old Yosemite Rd, 8 miles east of Greeley Hill",False,2016-09-13T13:55:00Z
507,150.0,2016,False,Orange,2016-09-05T06:55:00Z,off Trabuco Creek Rd near Holy Jim Trail,False,2016-08-31T04:10:00Z
508,150.0,2016,True,San Luis Obispo,2016-05-10T18:45:00Z,Wood Canyon Rd & Hwy 41,False,2016-05-10T16:11:00Z
509,147.0,2016,True,San Joaquin,2016-08-20T18:45:00Z,"off of Bird Rd & I-580, south of Tracy",False,2016-08-20T08:35:00Z
510,145.0,2016,True,Fresno,2016-07-07T19:00:00Z,"Hwy 198 and Frame Ln, 14 miles west of Coalinga",False,2016-07-04T17:15:00Z
511,140.0,2016,True,Stanislaus,2016-08-04T20:00:00Z,"off of Maze & Kasson, west of Modesto",False,2016-08-04T15:45:00Z
512,139.0,2016,True,Riverside,2016-06-07T18:15:00Z,Off I-15 south of Temecula Parkway,True,2016-06-04T11:40:00Z
513,138.0,2016,True,Kern,2016-07-16T07:40:00Z,"off Granite Rd & Famoso Rd, 15 miles east of Famoso",False,2016-07-15T23:55:00Z
514,132.0,2016,True,Fresno,2016-05-17T19:10:00Z,"Off Piedra Rd near Kings River, 10 miles northeast of Sanger",False,2016-05-15T16:38:00Z
515,130.0,2016,True,Butte,2016-09-23T10:30:00Z,"off Oro-Bangor Highway & Swedes Flat, 7 miles SE of Oroville",False,2016-09-22T11:45:00Z
516,123.0,2016,True,Fresno,2016-07-16T18:00:00Z,"off Auberry Rd & White Thorne Rd, near Prather",True,2016-07-15T16:45:00Z
517,122.0,2016,False,Mono,2016-08-07T19:33:00Z,southeast of Mammoth Lakes and a mile north of the community of Swall Meadows.,False,2016-08-05T15:45:00Z
518,120.0,2016,True,Stanislaus,2016-06-09T17:10:00Z,"Henry W. Coe State Park, Del Puerto Canyon, 20 miles west of Gustine (Stanislaus Co.)",False,2016-06-07T16:30:00Z
519,114.0,2016,True,Santa Clara,2016-07-31T18:30:00Z,"Off Sierra Rd & Calaveras Rd, Spring Valley",False,2016-07-30T17:25:00Z
520,112.0,2016,True,Butte,2016-06-20T19:50:00Z,"Off Coal Canyon Rd & Hwy 70, north of Oroville",False,2016-06-20T16:38:00Z
521,103.0,2016,True,Madera,2016-07-06T20:00:00Z,"Hwy 41 and Hummingbird Ln, One mile east of Coarsgold",False,2016-07-04T11:53:00Z
